iteration,rmsd,acceptance,max_displacement
0,1971.8118049696882,0.00042,0.2993684696191893
1,1902.963769729255,0.00117,0.2993684696191893
2,5220.705243076304,0.01099,0.2993684696191893
3,7209.1646001838635,0.0108,0.2993684696191893
4,11011.721018827619,0.00696,0.2993684696191893
5,12988.968897679017,0.00655,0.2993684696191893
6,13901.851335149971,0.00621,0.2993684696191893
7,14939.474373913354,0.00561,0.2993684696191893
8,15818.204342430616,0.00547,0.2993684696191893
9,16250.358509784468,0.0037,0.2993684696191893
10,16442.601509933105,0.00369,0.2993684696191893
11,16798.866287467576,0.0035,0.2993684696191893
12,17116.460394028807,0.00329,0.2993684696191893
13,18193.507512134376,0.00304,0.2993684696191893
14,18071.04384671589,0.00303,0.2993684696191893
15,18234.74851517112,0.0031,0.2993684696191893
16,18280.356731851072,0.0034,0.2993684696191893
17,18460.77885118292,0.00374,0.2993684696191893
18,18990.0869869096,0.00296,0.2993684696191893
19,19004.03917938257,0.00311,0.2993684696191893
