r,U
0.01,50.0
0.03,19.437998438861122
0.05,20.35181785804422
0.07,19.219309043195008
0.09,17.011505760335208
0.11,14.436205630705548
0.13,11.86089710651774
0.15,9.471190301497124
0.1699999999999999,7.382527602833718
0.19,5.690275512780583
0.21,4.467533525104298
0.2299999999999999,3.6997550552316207
0.25,3.2545181218162735
0.27,2.9559449715741293
0.29,2.694500662862459
0.31,2.4551272148469536
0.33,2.2688743032026935
0.35,2.166177450626458
0.37,2.1661698770695423
0.39,2.282044469751205
0.41,2.519392269249635
0.43,2.8694248661803368
0.45,3.311823369224002
0.47,3.828409075758045
0.49,4.4042876198475485
0.51,5.0012646462384
0.53,5.537738224717555
0.55,5.924406633064248
0.5700000000000001,6.130047738270487
0.59,6.180350452032527
0.61,6.08083355374949
0.63,5.810083606434822
0.65,5.448583559936702
0.67,5.251941214652388
0.6900000000000001,5.489809076799882
0.71,6.203032597077855
0.73,7.169987877118719
0.75,8.100420103216255
0.77,8.819778641454882
0.79,9.297441383608678
0.81,9.57961694200085
0.8300000000000001,9.726079024250339
0.85,9.779490041890046
0.87,9.755284412583602
0.89,9.641650766206883
0.91,9.407351639861997
0.93,9.01573527279507
0.95,8.456274468594263
0.97,7.802011644882335
0.99,7.247701948175066
1.01,7.035681097999823
1.03,7.280003383519863
1.05,7.870251698158753
1.07,8.57553917091375
1.09,9.219656252517623
1.11,9.744921813938475
1.13,10.162694435376999
1.15,10.493845857288282
1.17,10.747035405025041
1.19,10.919489109641688
1.21,11.002092911684993
1.23,10.986338475256982
1.25,10.869655383720424
1.27,10.656773550059082
1.29,10.352824767764911
1.31,9.95376653523066
1.33,9.443331223211537
1.35,8.816013122989453
1.37,8.13609317770312
1.39,7.582445233266919
1.41,7.381428670885232
1.43,7.636055119757475
1.45,8.231545595230035
1.47,8.93790846214905
1.49,9.582743691857743
1.51,10.11273833273966
1.53,10.541491368782317
1.55,10.889461565919419
1.57,11.167328026384972
1.59,11.384058843293662
1.61,11.552679777462
1.63,11.688514827082479
1.65,11.804815703733514
1.67,11.911502539488492
1.69,12.014067471789605
1.71,12.110760803430395
1.73,12.1909373368043
1.75,12.238299378184209
1.77,12.2372782825198
1.79,12.17753239049923
1.81,12.054601717321358
1.83,11.867960077739749
1.85,11.617059396850394
1.87,11.297285246082279
1.89,10.896762953945405
1.91,10.396153975815508
1.93,9.7725648701512
1.95,9.022139759979233
1.97,8.2134105823652
1.99,7.526807974847528
2.01,7.186577936251736
2.03,7.29153575147924
2.05,7.720150069835495
2.0700000000000003,8.229488758177162
2.09,8.626388867043904
2.1100000000000003,8.830606715379393
2.13,8.826222662742115
2.1500000000000004,8.606557630917003
2.17,8.179953328450349
2.1900000000000004,7.631206880685849
2.21,7.166322126868571
2.2300000000000004,7.039312427988823
2.25,7.372438908462649
2.2700000000000005,8.056814071628931
2.29,8.856335945147524
2.31,9.588012146796505
2.33,10.192468125452343
2.35,10.68558487930417
2.37,11.09428768817489
2.39,11.432378282773776
2.41,11.704986529122813
2.43,11.916416633276526
2.45,12.072261089362367
2.47,12.17720082860901
2.49,12.234803711690105
2.51,12.249280045858384
2.53,12.228232162375882
2.55,12.184405321785377
2.5700000000000003,12.132951604960354
2.59,12.083115953565027
2.6100000000000003,12.029533584519584
2.63,11.950398027138903
2.6500000000000004,11.814022702085257
2.67,11.588537869818381
2.6900000000000004,11.249818488275018
2.71,10.782994241823815
2.7300000000000004,10.177610717620503
