r,g_target,uncertainty
0.01,0.0,0.0
0.03,0.0,0.0
0.05,0.0,0.0
0.07,0.0,0.0
0.09,0.0,0.0
0.11,0.0,0.0
0.13,0.0,0.0
0.15000000000000002,0.0,0.0
0.16999999999999998,0.0,0.0
0.19,0.0,0.0
0.21000000000000002,0.0,0.0
0.22999999999999998,0.0,0.0
0.25,0.0,0.0
0.27,0.0,0.0
0.29000000000000004,0.0,0.0
0.31,0.0,0.0
0.33,0.0,0.0
0.35,0.0,0.0
0.37,0.0,0.0
0.39,0.0,0.0
0.41000000000000003,0.0,0.0
0.43,0.0,0.0
0.45,0.0,0.0
0.47,0.0,0.0
0.49,0.0,0.0
0.51,0.0,0.0
0.53,0.0,0.0
0.55,0.0,0.0
0.5700000000000001,0.0,0.0
0.59,0.0,0.0
0.61,0.0,0.0
0.63,0.0,0.0
0.65,0.0,0.0
0.67,0.0,0.0
0.6900000000000001,0.0,0.0
0.71,0.0,0.0
0.73,0.0,0.0
0.75,0.0,0.0
0.77,0.0,0.0
0.79,0.0,0.0
0.81,0.0,0.0
0.8300000000000001,0.0,0.0
0.85,0.0,0.0
0.87,0.0,0.0
0.89,0.0,0.0
0.91,0.0,0.0
0.93,0.0,0.0
0.95,0.0,0.0
0.97,0.0,0.0
0.99,0.0,0.0
1.01,37409.7326900103,179.57547144404597
1.03,0.0,0.0
1.05,0.0,0.0
1.07,0.0,0.0
1.09,0.0,0.0
1.11,0.0,0.0
1.1300000000000001,0.0,0.0
1.15,0.0,0.0
1.17,0.0,0.0
1.19,0.0,0.0
1.21,0.0,0.0
1.23,0.0,0.0
1.25,0.0,0.0
1.27,0.0,0.0
1.29,0.0,0.0
1.31,0.0,0.0
1.33,0.0,0.0
1.35,0.0,0.0
1.37,0.0,0.0
1.3900000000000001,0.0,0.0
1.4100000000000001,25932.76193787989,147.42081378383563
1.43,0.0,0.0
1.45,0.0,0.0
1.47,0.0,0.0
1.49,0.0,0.0
1.51,0.0,0.0
1.53,0.0,0.0
1.55,0.0,0.0
1.57,0.0,0.0
1.59,0.0,0.0
1.61,0.0,0.0
1.6300000000000001,0.0,0.0
1.6500000000000001,0.0,0.0
1.67,0.0,0.0
1.69,0.0,0.0
1.71,0.0,0.0
1.73,0.0,0.0
1.75,0.0,0.0
1.77,0.0,0.0
1.79,0.0,0.0
1.81,0.0,0.0
1.83,0.0,0.0
1.85,0.0,0.0
1.87,0.0,0.0
1.8900000000000001,0.0,0.0
1.9100000000000001,0.0,0.0
1.93,0.0,0.0
1.95,0.0,0.0
1.97,0.0,0.0
1.99,0.0,0.0
2.01,17875.80132717441,75.39482176694504
2.0300000000000002,0.0,0.0
2.05,0.0,0.0
2.0700000000000003,0.0,0.0
2.09,0.0,0.0
2.1100000000000003,0.0,0.0
2.13,0.0,0.0
2.1500000000000004,0.0,0.0
2.17,0.0,0.0
2.1900000000000004,0.0,0.0
2.21,0.0,0.0
2.2300000000000004,31307.34215266916,132.66905691471467
2.25,0.0,0.0
2.2700000000000005,0.0,0.0
2.29,0.0,0.0
2.31,0.0,0.0
2.33,0.0,0.0
2.3499999999999996,0.0,0.0
2.37,0.0,0.0
2.3899999999999997,0.0,0.0
2.41,0.0,0.0
2.4299999999999997,0.0,0.0
2.45,0.0,0.0
2.4699999999999998,0.0,0.0
2.49,0.0,0.0
2.51,0.0,0.0
2.5300000000000002,0.0,0.0
2.55,0.0,0.0
2.5700000000000003,0.0,0.0
2.59,0.0,0.0
2.6100000000000003,0.0,0.0
2.63,0.0,0.0
2.6500000000000004,0.0,0.0
2.67,0.0,0.0
2.6900000000000004,0.0,0.0
2.71,0.0,0.0
2.7300000000000004,0.0,0.0
2.75,0.0,0.0
2.7700000000000005,0.0,0.0
2.79,0.0,0.0
2.81,0.0,0.0
2.83,11827.079637733306,47.793784029811455
2.8499999999999996,0.0,0.0
2.87,0.0,0.0
2.8899999999999997,0.0,0.0
2.91,0.0,0.0
2.9299999999999997,0.0,0.0
2.95,0.0,0.0
2.9699999999999998,0.0,0.0
2.99,0.0,0.0
3.01,11291.387250163025,52.34551504839681
3.0300000000000002,0.0,0.0
3.05,0.0,0.0
3.0700000000000003,0.0,0.0
3.09,0.0,0.0
3.1100000000000003,0.0,0.0
3.13,0.0,0.0
3.1500000000000004,0.0,0.0
3.17,20900.758813786124,94.62912848309283
3.1900000000000004,0.0,0.0
3.21,0.0,0.0
3.2300000000000004,0.0,0.0
3.25,0.0,0.0
3.2700000000000005,0.0,0.0
3.29,0.0,0.0
3.3100000000000005,0.0,0.0
3.33,0.0,0.0
3.3499999999999996,0.0,0.0
3.37,0.0,0.0
3.3899999999999997,0.0,0.0
3.41,0.0,0.0
3.4299999999999997,0.0,0.0
3.45,0.0,0.0
3.4699999999999998,0.0,0.0
3.49,0.0,0.0
3.51,0.0,0.0
3.5300000000000002,0.0,0.0
3.55,0.0,0.0
3.5700000000000003,0.0,0.0
3.59,0.0,0.0
3.6100000000000003,17661.75550205254,81.70462816191024
3.63,0.0,0.0
3.6500000000000004,0.0,0.0
3.67,0.0,0.0
3.6900000000000004,0.0,0.0
3.71,0.0,0.0
3.7300000000000004,0.0,0.0
3.75,0.0,0.0
3.7700000000000005,0.0,0.0
3.79,0.0,0.0
3.8100000000000005,0.0,0.0
3.83,0.0,0.0
3.8499999999999996,0.0,0.0
3.87,0.0,0.0
3.8899999999999997,0.0,0.0
3.91,0.0,0.0
3.9299999999999997,0.0,0.0
3.95,0.0,0.0
3.9699999999999998,0.0,0.0
3.99,0.0,0.0
4.01,7986.897868312929,42.876895525466566
4.03,0.0,0.0
4.050000000000001,0.0,0.0
4.07,0.0,0.0
4.09,0.0,0.0
4.109999999999999,0.0,0.0
4.13,15176.04515417022,67.64515587621487
4.15,0.0,0.0
4.17,0.0,0.0
4.1899999999999995,0.0,0.0
4.21,0.0,0.0
4.23,0.0,0.0
4.25,7166.043713761351,39.298627696894656
4.27,0.0,0.0
4.29,0.0,0.0
4.3100000000000005,0.0,0.0
4.33,0.0,0.0
4.35,0.0,0.0
4.37,0.0,0.0
4.390000000000001,0.0,0.0
4.41,0.0,0.0
4.43,0.0,0.0
4.45,0.0,0.0
4.470000000000001,13529.893337068008,73.86621645710257
4.49,0.0,0.0
4.51,0.0,0.0
4.53,0.0,0.0
4.550000000000001,0.0,0.0
4.57,0.0,0.0
4.59,0.0,0.0
4.61,0.0,0.0
4.63,0.0,0.0
4.65,0.0,0.0
4.67,0.0,0.0
4.6899999999999995,0.0,0.0
4.71,0.0,0.0
4.73,0.0,0.0
4.75,0.0,0.0
4.77,0.0,0.0
4.79,0.0,0.0
4.8100000000000005,0.0,0.0
4.83,0.0,0.0
4.85,0.0,0.0
4.87,0.0,0.0
4.890000000000001,0.0,0.0
4.91,0.0,0.0
4.93,0.0,0.0
4.95,0.0,0.0
4.970000000000001,0.0,0.0
4.99,0.0,0.0
5.01,17559.367728494857,99.56581452813755
5.03,0.0,0.0
5.050000000000001,0.0,0.0
5.07,0.0,0.0
5.09,11596.715762402851,54.664405899739684
5.11,0.0,0.0
5.13,0.0,0.0
5.15,0.0,0.0
5.17,0.0,0.0
5.1899999999999995,0.0,0.0
5.21,0.0,0.0
5.23,0.0,0.0
5.25,0.0,0.0
5.27,0.0,0.0
5.29,0.0,0.0
5.3100000000000005,0.0,0.0
5.33,0.0,0.0
5.35,0.0,0.0
5.37,0.0,0.0
5.390000000000001,10595.646501195182,56.67532027117456
5.41,0.0,0.0
5.43,0.0,0.0
5.45,0.0,0.0
5.470000000000001,0.0,0.0
5.49,0.0,0.0
5.51,0.0,0.0
5.53,0.0,0.0
5.550000000000001,0.0,0.0
5.57,0.0,0.0
5.59,0.0,0.0
5.61,0.0,0.0
5.63,0.0,0.0
5.65,4870.496334991897,32.26972490150213
5.67,0.0,0.0
5.6899999999999995,0.0,0.0
5.71,0.0,0.0
5.73,0.0,0.0
5.75,0.0,0.0
5.77,0.0,0.0
5.79,0.0,0.0
5.8100000000000005,0.0,0.0
5.83,9391.223220062926,59.02267823698925
5.85,0.0,0.0
5.87,0.0,0.0
5.890000000000001,0.0,0.0
5.91,0.0,0.0
5.93,0.0,0.0
5.95,0.0,0.0
5.970000000000001,0.0,0.0
5.99,0.0,0.0
6.01,4685.740935225715,21.77299585289337
6.03,0.0,0.0
6.050000000000001,0.0,0.0
6.07,0.0,0.0
6.09,9096.87256130947,44.995838040614636
6.11,0.0,0.0
6.130000000000001,0.0,0.0
6.15,0.0,0.0
6.17,0.0,0.0
6.1899999999999995,0.0,0.0
6.21,0.0,0.0
6.23,0.0,0.0
6.25,0.0,0.0
6.27,0.0,0.0
6.29,0.0,0.0
6.3100000000000005,0.0,0.0
6.33,8488.827962556246,50.15876719418242
6.35,0.0,0.0
6.37,0.0,0.0
6.390000000000001,0.0,0.0
6.41,8132.899742196983,53.824084097954014
6.43,0.0,0.0
6.45,0.0,0.0
6.470000000000001,0.0,0.0
6.49,0.0,0.0
6.51,0.0,0.0
6.53,0.0,0.0
6.550000000000001,0.0,0.0
6.57,0.0,0.0
6.59,0.0,0.0
6.61,0.0,0.0
6.630000000000001,0.0,0.0
6.65,0.0,0.0
6.67,0.0,0.0
6.6899999999999995,0.0,0.0
6.71,7693.53385432042,48.45334436696667
6.73,0.0,0.0
6.75,0.0,0.0
6.77,0.0,0.0
6.79,0.0,0.0
6.8100000000000005,0.0,0.0
6.83,0.0,0.0
6.85,0.0,0.0
6.87,0.0,0.0
6.890000000000001,0.0,0.0
6.91,0.0,0.0
6.93,0.0,0.0
6.95,0.0,0.0
6.970000000000001,0.0,0.0
6.99,0.0,0.0
7.01,3745.620831146566,22.93053833909269
7.03,0.0,0.0
7.050000000000001,0.0,0.0
7.07,10820.152367761464,57.7930421695888
7.09,0.0,0.0
7.11,0.0,0.0
7.130000000000001,0.0,0.0
7.15,0.0,0.0
7.17,0.0,0.0
7.1899999999999995,0.0,0.0
7.21,6819.413231797591,44.97234861903446
7.23,0.0,0.0
7.25,0.0,0.0
7.27,0.0,0.0
7.29,6912.8628462240695,46.93894518334684
7.3100000000000005,0.0,0.0
7.33,0.0,0.0
7.35,0.0,0.0
7.37,0.0,0.0
7.390000000000001,0.0,0.0
7.41,0.0,0.0
7.43,0.0,0.0
7.45,0.0,0.0
7.470000000000001,0.0,0.0
7.49,0.0,0.0
7.51,0.0,0.0
7.53,0.0,0.0
7.550000000000001,0.0,0.0
7.57,0.0,0.0
7.59,0.0,0.0
7.61,6372.987413642177,44.69740031962721
7.630000000000001,0.0,0.0
7.65,0.0,0.0
7.67,0.0,0.0
7.6899999999999995,0.0,0.0
7.71,0.0,0.0
7.73,0.0,0.0
7.75,0.0,0.0
7.77,0.0,0.0
7.79,0.0,0.0
7.8100000000000005,5966.978013656558,41.38639534554586
7.83,0.0,0.0
7.85,0.0,0.0
7.87,0.0,0.0
7.890000000000001,0.0,0.0
7.91,0.0,0.0
7.93,0.0,0.0
7.95,0.0,0.0
7.970000000000001,0.0,0.0
7.99,0.0,0.0
8.01,3046.6083242258273,22.84597840631465
8.030000000000001,0.0,0.0
8.05,0.0,0.0
8.07,11703.257271580873,65.64063355264648
8.09,0.0,0.0
8.11,0.0,0.0
8.13,0.0,0.0
8.15,0.0,0.0
8.17,0.0,0.0
8.19,0.0,0.0
8.21,0.0,0.0
8.23,0.0,0.0
8.25,5708.616316488458,44.735940059487845
8.27,0.0,0.0
8.29,0.0,0.0
8.31,0.0,0.0
8.33,0.0,0.0
8.35,0.0,0.0
8.370000000000001,0.0,0.0
8.39,0.0,0.0
8.41,0.0,0.0
8.43,0.0,0.0
8.45,0.0,0.0
8.47,0.0,0.0
8.49,2589.2098273821357,18.687369785219705
8.51,0.0,0.0
8.530000000000001,0.0,0.0
8.55,5308.484810966987,37.72100083134722
8.57,0.0,0.0
8.59,0.0,0.0
8.61,5087.517174273313,34.6213188849054
8.63,0.0,0.0
8.65,0.0,0.0
8.67,0.0,0.0
8.690000000000001,0.0,0.0
8.71,0.0,0.0
8.73,0.0,0.0
8.75,0.0,0.0
8.77,0.0,0.0
8.79,0.0,0.0
8.81,0.0,0.0
8.83,0.0,0.0
8.85,0.0,0.0
8.870000000000001,0.0,0.0
8.89,0.0,0.0
8.91,0.0,0.0
8.93,0.0,0.0
8.95,4836.773618781199,31.95698384268843
8.97,0.0,0.0
8.99,0.0,0.0
9.01,2499.3611920877715,19.525054394343655
9.030000000000001,0.0,0.0
9.05,4936.479930216281,36.79697086975151
9.07,0.0,0.0
9.09,0.0,0.0
9.11,0.0,0.0
9.13,0.0,0.0
9.15,0.0,0.0
9.17,0.0,0.0
9.190000000000001,0.0,0.0
9.21,9242.434881489691,59.14811580150769
9.23,0.0,0.0
9.25,0.0,0.0
9.27,0.0,0.0
9.29,0.0,0.0
9.31,0.0,0.0
9.33,0.0,0.0
9.35,0.0,0.0
9.370000000000001,0.0,0.0
9.39,0.0,0.0
9.41,0.0,0.0
9.43,4352.896504369115,30.108353298250496
9.45,0.0,0.0
9.47,0.0,0.0
9.49,4451.637203653112,32.89899710762887
9.51,0.0,0.0
9.530000000000001,0.0,0.0
9.55,0.0,0.0
9.57,0.0,0.0
9.59,0.0,0.0
9.61,0.0,0.0
9.63,0.0,0.0
9.65,0.0,0.0
9.67,0.0,0.0
9.690000000000001,0.0,0.0
9.71,0.0,0.0
9.73,0.0,0.0
9.75,0.0,0.0
9.77,0.0,0.0
9.79,0.0,0.0
9.81,0.0,0.0
9.83,0.0,0.0
9.85,4095.3801829945123,25.827706951770285
9.870000000000001,0.0,0.0
9.89,1967.1692993057852,16.153463115455367
9.91,0.0,0.0
9.93,0.0,0.0
9.95,0.0,0.0
9.97,0.0,0.0
9.99,0.0,0.0
