r,U
0.0,4245695.999999993
0.1,2122847.9999999963
0.2,473.42285156249915
0.3,0.0
0.4,-0.5852086544036861
0.5,-0.17791687065599995
0.6,-0.0615234375
0.7,-0.024632009656975266
0.8,-0.011092723289038976
0.9,-0.0054794417442387755
1.0,-0.0029138742359999994
1.1,-0.0016453286461152348
1.2,-0.0009763240814208984
1.3,-0.0006040345893672048
1.4,-0.00038723736451052053
1.5,-0.00025598361599999986
1.6,-0.0001737995919341982
1.7,-0.00012080387761142734
1.8,-8.57320444555463e-05
1.9,-6.19810864013334e-05
2.0,-4.556198101464843e-05
2.1,-3.39991500187931e-05
2.2,-2.5718678073348274e-05
2.3,-1.9697829086647228e-05
2.4,-1.5258730854839087e-05
2.5,-1.1943900335598205e-05
2.6,-9.439443839311077e-06
2.7,-7.526691529811034e-06
2.8,-6.051160532786523e-06
2.9,-4.902290013316744e-06
3.0,-3.999995999999998e-06
3.1,-3.285617476535167e-06
3.2,-2.7157347837723752e-06
3.3,-2.2578944456918392e-06
3.4,-1.8876167065066009e-06
3.5,-1.5862771973465285e-06
3.6,-1.3395914580949166e-06
3.7,-1.1365199193678882e-06
3.8,-9.684692474677494e-07
3.9,-8.287046724440841e-07
4.0,-7.119139357945917e-07
4.1,-6.138811707144092e-07
4.2,-5.312411639653179e-07
4.3,-4.6129286375645774e-07
4.4,-4.0185688834767755e-07
4.5,-3.511659499662239e-07
4.6,-3.077800714541076e-07
4.7,-2.705206004137769e-07
4.8,-2.3841856489070778e-07
4.9,-2.1067403660318116e-07
5.0,-1.8662399129287063e-07
5.1,-1.6571676436360381e-07
5.2,-1.474916526114154e-07
5.3,-1.315625515718377e-07
5.4,-1.1760477298971164e-07
5.5,-1.053443799479964e-07
5.6,-9.454952412369314e-08
5.7,-8.502338206774394e-08
5.8,-7.659837386822402e-08
5.9,-6.913141437283308e-08
6.0,-6.249999902343747e-08
6.1,-5.6598966814703736e-08
6.2,-5.133781458110954e-08
6.3,-4.663846174600267e-08
6.4,-4.2433384355769664e-08
6.5,-3.8664052834095946e-08
6.6,-3.527962031719819e-08
6.7,-3.223581835735503e-08
6.8,-2.9494024740051393e-08
6.9,-2.702047456194575e-08
7.0,-2.4785590884166497e-08
7.1,-2.2763415459748546e-08
7.2,-2.0931123432996013e-08
7.3,-1.9268608678016796e-08
7.4,-1.7758128706903678e-08
7.5,-1.6383999932891138e-08
7.6,-1.5132335598238007e-08
7.7,-1.3990819932847466e-08
7.8,-1.2948513147646718e-08
7.9,-1.199568272663595e-08
8.0,-1.112365719562856e-08
8.1,-1.0324699140202931e-08
8.2,-9.591894741482655e-09
8.3,-8.919057513300365e-09
8.4,-8.300644272144048e-09
8.5,-7.731681663520905e-09
8.6,-7.2077018144223605e-09
8.7,-6.724685889165589e-09
8.8,-6.279014501392328e-09
8.9,-5.867424083679393e-09
9.0,-5.4869684424047065e-09
9.1,-5.134984832822155e-09
9.2,-4.8090639807222e-09
9.3,-4.5070235550865e-09
9.4,-4.226884662863489e-09
9.5,-3.96685099413746e-09
9.6,-3.725290294992467e-09
9.7,-3.5007178875075495e-09
9.8,-3.2917819925890074e-09
9.9,-3.097250642615626e-09
10.0,-2.9159999978742354e-09
10.1,-2.7470039041147584e-09
10.2,-2.5893245487787854e-09
10.3,-2.4421040909985665e-09
10.4,-2.3045571557013586e-09
10.5,-2.175964095408701e-09
10.6,-2.0556649348656577e-09
10.7,-1.943053923705086e-09
10.8,-1.8375746311469629e-09
10.9,-1.7387155244240103e-09
11.0,-1.6460059793594806e-09
11.1,-1.559012677427287e-09
11.2,-1.4773363488074376e-09
11.3,-1.400608825504609e-09
11.4,-1.328490372605464e-09
11.5,-1.2606672692807772e-09
11.6,-1.1968496142520719e-09
11.7,-1.1367693331913603e-09
11.8,-1.0801783679523856e-09
11.9,-1.0268470296816182e-09
12.0,-9.765624997615809e-10
12.1,-9.291274642275812e-10
12.2,-8.84358868797673e-10
12.3,-8.420867829872769e-10
12.4,-8.021533629641744e-10
12.5,-7.644119038539187e-10
12.6,-7.28725973145196e-10
12.7,-6.949686176826219e-10
12.8,-6.630216374825646e-10
12.9,-6.327749202760945e-10
13.0,-6.041258312809955e-10
13.1,-5.76978653240039e-10
